0.0 23.34
900.0 23.52
1800.0 23.73
2700.0 23.89
3600.0 24.04
4500.0 24.18
5400.0 24.36
6300.0 24.52
7200.0 24.63
8100.0 24.71
9000.0 24.87
9900.0 19.12
10800.0 22.29
11700.0 19.48
12600.0 22.67
13500.0 22.88
14400.0 23.07
15300.0 20.04
16200.0 23.42
17100.0 20.27
18000.0 20.38
18900.0 20.5
19800.0 20.54
20700.0 19.38
21600.0 19.41
22500.0 19.47
23400.0 19.49
24300.0 19.53
25200.0 19.58
26100.0 19.66
27000.0 19.74
27900.0 19.87
28800.0 19.91
29700.0 20.09
30600.0 20.19
31500.0 20.28
32400.0 20.05
33300.0 20.1
34200.0 20.14
35100.0 20.23
36000.0 20.29
36900.0 20.33
37800.0 20.4
38700.0 19.66
39600.0 19.76
40500.0 20.54
41400.0 20.61
42300.0 20.68
43200.0 20.28
44100.0 20.75
45000.0 20.81
45900.0 20.92
46800.0 21.02
47700.0 21.13
48600.0 21.21
49500.0 21.33
50400.0 21.38
51300.0 10.08
52200.0 10.06
53100.0 10.15
54000.0 22.23
54900.0 10.37
55800.0 22.76
56700.0 22.92
57600.0 23.2
58500.0 23.37
59400.0 23.46
60300.0 22.31
61200.0 22.5
62100.0 22.63
63000.0 19.01
63900.0 23.0
64800.0 11.51
65700.0 11.51
66600.0 11.51
67500.0 9.11
68400.0 9.18
69300.0 8.34
70200.0 8.39
71100.0 22.06
72000.0 8.49
72900.0 24.54
73800.0 24.6
74700.0 19.01
75600.0 8.35
76500.0 8.43
77400.0 8.51
78300.0 24.88
79200.0 24.92
80100.0 22.33
81000.0 22.44
81900.0 22.53
82800.0 22.67
83700.0 22.8
84600.0 22.99
85500.0 23.15
