144.04 11.91
144.02 11.89
144.0 11.87
142.98 11.86
142.96 11.84
142.94 11.82
142.92 11.85
142.9 11.83
141.88 11.8
141.86 11.78
141.84 11.76
141.82 11.79
141.8 11.77
141.78 11.81
140.76 11.7
140.74 11.74
140.72 11.72
140.7 11.71
140.68 11.75
140.66 11.73
139.64 11.64
139.62 11.68
139.6 11.66
139.58 11.63
139.56 11.69
139.54 11.67
139.52 11.65
138.5 11.62
138.48 11.6
138.46 11.58
138.44 11.61
138.42 11.59
138.4 11.57
137.38 11.52
137.36 11.5
145.16 11.95
145.18 11.97
145.2 11.99
145.22 12.01
145.24 11.96
